States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date
Madhya Pradesh,24.33,18.83,22.17,71.5,67.83,67.17,62.5,54.67,41,44.33,125.17,86.17,68.33,77.17,88.17,67.33,39.33,217.33,15.83,11.17,35.33,25,5/1/2018
Maharashtra,34.5,25.5,30.25,74.25,68.5,76.75,78,59.25,40,39.75,121,125.75,81.25,82.25,90.25,73,44.75,236,16.5,17.5,36,24.5,5/1/2018
Meghalaya,25,29,28,85,62,73,80,63,50,64,115,94,72,98,122,88,66,200,20,20,55,35,5/1/2018
Mizoram,30,0,25,0,80,0,140,100,55,65,0,109,0,93,98,0,0,360,22,30,70,0,5/1/2018
Nagaland,25,40,30,80,80,65,75,60,50,50,0,0,0,0,0,0,60,200,10,15,50,40,5/1/2018
Odisha,25.67,0,23.33,61.33,64.67,60.33,70,50.33,40.33,34,0,96.67,73,84.5,89.33,78.67,41.67,186.67,17,8.33,43.67,18.67,5/1/2018
Puducherry,32,34,28,76,76,80,80,55,38,36,126,132,100,0,88,74,50,250,17,22,44,10,5/1/2018
Punjab,32,19.33,23,75.67,82,77.33,79.33,71.67,40.67,46.67,148.67,97.33,84.67,90.67,102,0,46.33,205,18,12,45,28.33,5/1/2018
Rajasthan,28,18,21.33,66.67,60.67,60,58,51.33,41.33,38.67,120.33,94.67,67.67,77.67,93.33,0,38.67,207.67,14.33,9.33,31.67,16.67,5/1/2018
Sikkim,53,21,26,76,85,100,93,75,48,47,0,120,76,106,120,0,55,0,18,19,50,35,5/1/2018
Tamil Nadu,36.2,30.8,30.25,72.6,72,75.8,74.25,60.5,39.2,36,134,114.5,92.6,90,91.6,72.6,54,220,17,18.6,44.4,10.2,5/1/2018
Telangana,27.33,26.83,28.5,94.67,93.33,97.67,80.83,72.17,42.33,39.83,116.83,104.25,67.67,82.67,84.17,64.33,41.67,182,13,25.33,40.33,17,5/1/2018
Tripura,31,0,31,78,0,80,76,69,47,40,0,117,70,103,0,0,53,178,19,19,54,50,5/1/2018
Uttar Pradesh,24.25,18.13,21.38,67.13,65.88,64,67.63,55.63,40.5,48.38,129.43,104.25,81,92.29,107.71,77,39.25,196.88,15.88,10,40.38,24.25,5/1/2018
West Bengal,29.71,18.5,24,71.57,83.14,87,81.43,70.57,44,40,126,99.43,79.14,85.43,92.57,69.71,43.29,184.29,11.43,9.86,45.43,40.29,5/1/2018
Average Price,30.22,24.21,26.44,75.09,74.51,76.51,73.75,62.81,41.2,41.85,128.03,108.3,79.7,87.61,93.67,72.58,44.76,205.18,15,15.06,42.58,23.21,6/1/2018
Maximum Price,52,46,48,132,132,130,100,105,48,56,170,165,115,120,126,95,66,275,20,40,54,60,6/1/2018
Minimum Price,20,17,20,54,53,50,56,45,36,28,85,80,62,70,78,62,29,120,8,6,20,8,6/1/2018
